size,n,rc,rm,mlr,expmlr
4,2,0.166667,0.166667,0.666667,0.500000
4,2,0.166667,0.166667,0.666667,0.500000
9,3,0.073333,0.110000,0.360000,0.250000
9,3,0.073333,0.110000,0.360000,0.250000
16,2,0.006446,0.006446,0.506446,0.500000
16,2,0.006446,0.006446,0.506446,0.500000
16,4,0.015424,0.047422,0.130755,0.083333
16,4,0.015424,0.047422,0.130755,0.083333
25,5,0.001981,0.018988,0.039821,0.020833
25,5,0.001981,0.018988,0.039821,0.020833
36,2,0.000038,0.000038,0.500038,0.500000
36,2,0.000038,0.000038,0.500038,0.500000
36,3,0.000162,0.036401,0.286401,0.250000
36,3,0.000162,0.036401,0.286401,0.250000
36,6,0.000194,0.006185,0.010351,0.004167
36,6,0.000194,0.006185,0.010351,0.004167
49,7,0.000016,0.001639,0.002333,0.000694
49,7,0.000016,0.001639,0.002333,0.000694
64,2,0.000000,0.000000,0.500000,0.500000
64,2,0.000000,0.000000,0.500000,0.500000
64,4,0.000003,0.020679,0.104013,0.083333
64,4,0.000003,0.020679,0.104013,0.083333
64,8,0.000001,0.000362,0.000461,0.000099
64,8,0.000001,0.000362,0.000461,0.000099