d,n,mr,mc,sols,canonical,symm,multilex,m-symm,eff,slack
{$2 \times 2$},2,1,1,{$2^{4}$},10,37.500000,10,0.625000,100.000000,1.000000
{$3 \times 3$},3,1,1,{$2^{9}$},104,79.680000,139,0.271484,91.420000,1.336538
{$4 \times 2$},2,2,1,{$2^{8}$},136,46.870000,136,0.531250,100.000000,1.000000
{$4 \times 4$},2,2,2,{$2^{16}$},32896,49.800000,32896,0.501953,100.000000,1.000000
{$4 \times 4$},4,1,1,{$2^{16}$},3044,95.350000,6192,0.094482,94.960000,2.034166
{$5 \times 5$},5,1,1,{$2^{25}$},291968,99.120000,897275,0.026741,98.180000,3.073196
{$6 \times 2$},2,3,1,{$2^{12}$},2080,49.210000,2080,0.507812,100.000000,1.000000
{$6 \times 3$},3,2,1,{$2^{18}$},44224,83.120000,66988,0.255539,89.550000,1.514743
{$6 \times 4$},2,3,2,{$2^{24}$},8390656,49.980000,8390656,0.500122,100.000000,1.000000
{$6 \times 6$},2,3,3,{$2^{36}$},34359869440,49.990000,34359869440,0.500002,100.000000,1.000000
{$6 \times 6$},3,2,2,{$2^{36}$},11453771776,83.330000,18042740416,0.262556,88.490000,1.575266
{$6 \times 6$},6,1,1,{$2^{36}$},96928992,99.850000,432351138,0.006292,99.510000,4.460493