domain,EOG-t,MR-t,MR_OPSB-t,MRD-t,MRR-t,MRR_OPSB-t,MRR_CSSB-t
airport,0.016939,0.099656,0.102575,3.262745,12.349663,5.899846,5.910283
barman,0.022750,29.995911,18.703128,2.643663,29.996205,29.996657,29.999150
childsnack,0.004616,15.539703,7.821006,20.620902,29.993024,29.991328,29.992475
cybersec,0.097573,9.332985,7.909547,0.146680,9.535418,8.147424,8.227318
data-network,0.017576,6.941595,4.282638,25.534582,29.998457,29.997900,29.998900
depot,0.008059,9.338917,7.083453,15.845885,27.888669,26.383274,25.278583
driverlog,0.010084,4.378211,2.921876,8.069283,23.127631,16.351980,15.998477
elevators,0.004044,3.636257,3.167702,6.466392,28.792838,23.969760,23.559641
floortile,0.005220,20.038206,0.505715,17.335321,29.998844,29.999472,29.999799
freecell,0.011949,1.127550,0.938838,8.017393,26.659007,21.609577,23.822297
ged,0.008587,9.408836,9.103000,9.458851,11.183429,10.065612,10.384796
gripper,0.011515,26.161300,24.151649,23.907391,28.888658,25.359858,27.233629
hiking,0.009251,3.883397,3.076854,9.543211,27.300722,21.481521,25.755125
logistics98,0.015808,5.809716,2.221579,20.870168,28.648626,26.889880,26.609782
mprime,0.006436,0.163966,0.159578,12.415539,16.466831,14.348730,14.951236
mystery,0.007601,0.064251,0.043374,5.007780,11.062806,8.165102,9.709787
nomystery,0.063474,0.906380,0.984715,4.111692,25.932633,14.792061,20.242227
organic-synthesis,0.020000,0.050439,0.054311,12.347572,12.624278,12.645561,11.235461
parcprinter,0.007916,0.102689,0.082917,14.197906,25.176290,24.850167,21.248428
parking,0.010461,0.760226,0.705018,26.726580,29.999709,29.396891,29.999706
pipesworld,0.012488,0.893744,0.174722,7.985234,26.198415,22.494075,25.100432
psr-small,0.006898,1.992172,0.775631,0.025257,2.040245,0.794369,0.952944
rovers,0.029876,9.461269,5.553502,15.602696,24.567956,23.773091,22.503839
satellite,0.010960,1.257277,0.908478,22.134950,27.524060,26.272004,26.265313
scanalyzer,0.004285,6.262406,6.004079,20.345066,28.979685,24.652447,28.055141
tetris,0.005900,0.586635,0.280752,20.510273,28.124157,25.400234,27.750154
thoughtful,0.016067,4.830904,0.233826,11.596750,29.998701,22.522767,26.626687
tpp,0.008224,13.052997,7.149641,19.345748,24.315615,22.944643,22.355134
transport,0.006755,7.571012,1.309734,16.907366,29.996544,26.765113,27.972635
woodworking,0.007438,0.067647,0.066599,15.962826,21.245591,20.783813,15.444498
zenotravel,0.006366,1.915192,0.920366,11.630997,22.812834,20.595120,20.275955
ALL,0.015131,5.609684,3.412085,12.743072,23.169578,20.511811,20.959250