domain,n-plans,n-eog,tw2-mt,tw2-mtml,tw2-rp,tw2-rpml,tw5-mt,tw5-mtml,tw5-rp,tw5-rpml
agricola,17,1.000000,225252078564379033600.000000,225252078564379033600.000000,244390376715571822592.000000,244390376715571822592.000000,225252078564379033600.000000,225252078564379033600.000000,244390376715571822592.000000,244390376715571822592.000000
airport,22,2851483.432226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barman,62,498641187.544994,8.140222,6.442924,5.094712,5.094712,9.355991,8.140222,24.706033,24.706033
childsnack,0,,,,,,,,,
cybersec,62,56389.956520,81.643189,84.142581,80.143547,77.802698,1661.290392,1633.068158,2222.872011,1540.699488
data-network,0,,,,,,,,,
depot,24,417488916.408488,44.224957,44.224957,30.148396,30.991924,55.577068,61.822500,42.765479,48.297951
driverlog,37,431164.375902,54.489223,28.069288,95.575615,75.551868,133.575340,136.342769,150.460241,191.218317
elevators,39,1319172.890850,76.418581,77.173442,24.433026,18.328978,83.778658,83.778658,28.935675,33.783777
floortile,2,303110059425102336.000000,,,,,,,,
freecell,45,792.132585,0.0,0.0,,,11.817412,13.101370,7.370573,7.626737
ged,91,115.118830,18.260893,18.260893,20.076273,20.076273,52.758966,55.414980,64.234826,64.754850
gripper,60,52336.193636,,4.228468,,,,,37.641264,36.565419
hiking,46,3738.839943,55.360527,73.780831,2088.881275,2089.249043,87.065342,93.156152,2432.252480,2221.264350
logistics98,6,98928969.493863,,,,,,,,
mprime,71,25.462848,18.248753,13.253123,33.376098,24.968834,33.472498,30.563199,44.764546,45.997109
mystery,42,19.463201,56.612366,47.430167,27.476096,24.940076,66.561145,74.031538,51.599157,54.314313
nomystery,36,255.850669,0.0,0.0,0.0,0.0,0.0,0.0,,
org-synth,3,3.271066,,,,,,,,
org-synth-split,27,1.000000,285.812993,281.724020,280.237343,270.600079,366.926840,366.926840,321.358542,300.270224
parcprinter,15,319371.277862,14.773562,14.713245,12.545214,12.545214,19.051331,14.571420,12.545214,12.545214
parking,80,36.019473,,,0.0,0.0,8.022821,8.022821,0.0,0.0
pipesworld,48,2399.905762,65.006462,61.949593,103.335739,88.762890,80.754262,73.198268,121.809438,111.598201
psr-small,140,52.966320,45.547003,45.547003,46.269400,46.269400,396.418258,392.537994,534.944174,534.944174
rovers,17,179962.014637,270.341879,294.517741,123.297246,113.211824,749.781093,744.573102,616.771088,576.106767
satellite,32,3400800.614907,207.434357,200.846672,114.039648,109.452173,365.036948,396.137136,192.791442,220.937232
scanalyzer,62,1061.545591,,7.287649,7.141661,,12.578558,13.065145,8.430765,
tetris,18,12127425.353866,,,0.0,0.0,,,0.0,0.0
thoughtful,4,303854.507002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpp,15,7646.346969,,,,,110.911202,108.041245,288.196618,310.855482
transport,45,45615964.560926,75.220830,69.905181,,8.003956,75.470900,74.564715,8.005974,12.336565
visitall,41,1.000000,14.302027,14.302027,0.0,0.0,16.250848,14.302027,0.0,0.0
woodworking,19,6926815.567795,1035.370068,1050.798473,528.813519,687.394767,2181.707824,2177.397264,1087.690810,1070.141634
zenotravel,30,23976.532747,60.576051,65.059627,19.185301,22.917795,111.389482,105.316853,83.679254,113.409687
ALL,1258,4799.136809,151.467613,150.104248,163.164568,161.119742,261.581777,261.379803,302.301817,298.291082